fixture_id,season,round,date,status_type,home_team,away_team,home_goals,away_goals,group,fifa_home_rank,fifa_home_points,fifa_away_rank,fifa_away_points,fifa_rank_diff,fifa_points_diff,rolling_points_home,rolling_points_away,rolling_gd_home,rolling_gd_away,rest_days_home,rest_days_away,real_elo_home,real_elo_away,real_elo_diff,result
7697170,18/19,1,2018-09-08 18:45:00+00:00,finished,England,Spain,1.0,2.0,"UEFA Nations League, League A, Gr. 4",4.0,1922.831632,1.0,1995.881879,-3.0,-73.05024700000013,,,,,,,1893.0,2029.0,-136.0,A
7697189,18/19,1,2018-09-08 18:45:00+00:00,finished,Luxembourg,Moldova,4.0,0.0,"UEFA Nations League, League D, Gr. 2",98.0,1232.81815,159.0,1008.240035,61.0,224.57811500000003,,,,,,,1369.0,1301.0,68.0,H
7697172,18/19,2,2018-09-09 13:00:00+00:00,finished,Ukraine,Slovakia,1.0,0.0,"UEFA Nations League, League B, Gr. 1",33.0,1549.287173,45.0,1473.660727,12.0,75.62644599999999,3.0,,1.0,,2.0,,1788.0,1757.0,31.0,H
7697178,18/19,2,2018-09-09 16:00:00+00:00,finished,Denmark,Wales,2.0,0.0,"UEFA Nations League, League B, Gr. 4",21.0,1619.474248,38.0,1516.946629,17.0,102.52761899999996,,3.0,,3.0,,2.0,1890.0,1783.0,107.0,H
7697187,18/19,2,2018-09-09 16:00:00+00:00,finished,Bulgaria,Norway,1.0,0.0,"UEFA Nations League, League C, Gr. 3",85.0,1271.683325,19.0,1651.286867,-66.0,-379.60354200000006,3.0,3.0,1.0,2.0,2.0,2.0,1655.0,1632.0,23.0,H
7697194,18/19,2,2018-09-09 16:00:00+00:00,finished,Georgia,Latvia,1.0,0.0,"UEFA Nations League, League D, Gr. 1",72.0,1355.261687,137.0,1085.660758,65.0,269.60092899999995,3.0,1.0,2.0,0.0,3.0,2.0,1528.0,1326.0,202.0,H
7697185,18/19,2,2018-09-09 16:00:00+00:00,finished,North Macedonia,Armenia,2.0,0.0,"UEFA Nations League, League D, Gr. 4",69.0,1369.159317,107.0,1189.632762,38.0,179.52655500000014,3.0,3.0,2.0,1.0,2.0,3.0,1541.0,1440.0,101.0,H
7697168,18/19,2,2018-09-09 18:45:00+00:00,finished,France,Netherlands,2.0,1.0,"UEFA Nations League, League A, Gr. 1",3.0,1948.970817,9.0,1775.54224,6.0,173.4285769999999,1.0,,0.0,,3.0,,2128.0,1908.0,220.0,H
7697186,18/19,2,2018-09-09 18:45:00+00:00,finished,Cyprus,Slovenia,2.0,1.0,"UEFA Nations League, League C, Gr. 3",124.0,1133.247165,56.0,1441.087158,-68.0,-307.83999300000005,0.0,0.0,-2.0,-1.0,3.0,3.0,1420.0,1574.0,-154.0,H
7697188,18/19,2,2018-09-09 18:45:00+00:00,finished,Liechtenstein,Gibraltar,2.0,0.0,"UEFA Nations League, League D, Gr. 4",206.0,797.701009,202.0,820.260818,-4.0,-22.559808999999973,0.0,0.0,-1.0,-2.0,3.0,3.0,1157.0,1067.0,90.0,H
7697213,18/19,2,2018-09-10 18:45:00+00:00,finished,Kosovo,Faroe Islands,2.0,0.0,"UEFA Nations League, League D, Gr. 3",78.0,1319.120924,123.0,1136.585036,45.0,182.5358880000001,1.0,3.0,0.0,2.0,3.0,3.0,1446.0,1295.0,151.0,H
7697204,18/19,2,2018-09-10 18:45:00+00:00,finished,Andorra,Kazakhstan,1.0,1.0,"UEFA Nations League, League D, Gr. 1",172.0,946.429826,111.0,1180.780449,-61.0,-234.35062300000004,1.0,0.0,0.0,-2.0,4.0,4.0,1072.0,1331.0,-259.0,D
7697215,18/19,2,2018-09-10 18:45:00+00:00,finished,Malta,Azerbaijan,1.0,1.0,"UEFA Nations League, League D, Gr. 3",161.0,992.793497,126.0,1131.995112,-35.0,-139.20161500000006,0.0,1.0,-2.0,0.0,3.0,3.0,1194.0,1393.0,-199.0,D
7697207,18/19,2,2018-09-10 18:45:00+00:00,finished,Montenegro,Lithuania,2.0,0.0,"UEFA Nations League, League C, Gr. 4",80.0,1301.977191,149.0,1056.850321,69.0,245.12687000000005,1.0,0.0,0.0,-1.0,3.0,3.0,1615.0,1376.0,239.0,H
7697200,18/19,2,2018-09-10 18:45:00+00:00,finished,Portugal,Italy,1.0,0.0,"UEFA Nations League, League A, Gr. 3",7.0,1787.854725,15.0,1704.733836,8.0,83.1208889999998,,1.0,,0.0,,3.0,1948.0,1867.0,81.0,H
7697206,18/19,2,2018-09-10 18:45:00+00:00,finished,Serbia,Romania,2.0,2.0,"UEFA Nations League, League C, Gr. 4",40.0,1502.133186,52.0,1455.894657,12.0,46.23852899999997,3.0,1.0,1.0,0.0,3.0,3.0,1778.0,1723.0,55.0,D
7697205,18/19,2,2018-09-10 18:45:00+00:00,finished,Scotland,Albania,2.0,0.0,"UEFA Nations League, League C, Gr. 1",42.0,1491.223887,67.0,1376.033234,25.0,115.19065300000011,,3.0,,1.0,,3.0,1714.0,1560.0,154.0,H
7697202,18/19,2,2018-09-10 18:45:00+00:00,finished,Sweden,Türkiye,2.0,3.0,"UEFA Nations League, League B, Gr. 2",37.0,1525.578992,27.0,1582.54473,-10.0,-56.9657380000001,,0.0,,-1.0,,3.0,1816.0,1733.0,83.0,A
7697199,18/19,2,2018-09-11 18:45:00+00:00,finished,Iceland,Belgium,0.0,3.0,"UEFA Nations League, League A, Gr. 2",74.0,1342.771961,8.0,1778.355242,-66.0,-435.58328100000017,0.0,,-6.0,,3.0,,1681.0,2076.0,-395.0,A
7697201,18/19,2,2018-09-11 18:45:00+00:00,finished,Spain,Croatia,6.0,0.0,"UEFA Nations League, League A, Gr. 4",1.0,1995.881879,13.0,1723.050142,12.0,272.831737,3.0,,1.0,,3.0,,2051.0,1923.0,128.0,H
7697203,18/19,2,2018-09-11 18:45:00+00:00,finished,Bosnia & Herzegovina,Austria,1.0,0.0,"UEFA Nations League, League B, Gr. 3",61.0,1408.930486,23.0,1598.822839,-38.0,-189.89235299999996,3.0,,1.0,,3.0,,1780.0,1744.0,36.0,H
7697211,18/19,2,2018-09-11 18:45:00+00:00,finished,Finland,Estonia,1.0,0.0,"UEFA Nations League, League C, Gr. 2",75.0,1341.922408,127.0,1130.63629,52.0,211.286118,3.0,0.0,1.0,-1.0,3.0,3.0,1625.0,1461.0,164.0,H
7697210,18/19,2,2018-09-11 18:45:00+00:00,finished,Hungary,Greece,2.0,1.0,"UEFA Nations League, League C, Gr. 2",39.0,1506.393663,46.0,1473.187305,7.0,33.20635800000014,0.0,3.0,-1.0,1.0,3.0,3.0,1582.0,1641.0,-59.0,H
7697212,18/19,2,2018-09-11 18:45:00+00:00,finished,Moldova,Belarus,0.0,0.0,"UEFA Nations League, League D, Gr. 2",159.0,1008.240035,96.0,1242.876029,-63.0,-234.63599399999998,0.0,3.0,-4.0,5.0,3.0,3.0,1308.0,1514.0,-206.0,D
7697208,18/19,2,2018-09-11 18:45:00+00:00,finished,San Marino,Luxembourg,0.0,3.0,"UEFA Nations League, League D, Gr. 2",211.0,721.201827,98.0,1232.81815,-113.0,-511.6163230000001,0.0,3.0,-5.0,4.0,3.0,3.0,845.0,1375.0,-530.0,A
7697219,18/19,3,2018-10-11 18:45:00+00:00,finished,Poland,Portugal,2.0,3.0,"UEFA Nations League, League A, Gr. 3",36.0,1526.183359,7.0,1787.854725,-29.0,-261.6713659999998,1.0,3.0,0.0,1.0,34.0,31.0,1771.0,1965.0,-194.0,A
7697234,18/19,3,2018-10-11 18:45:00+00:00,finished,Israel,Scotland,2.0,1.0,"UEFA Nations League, League C, Gr. 1",76.0,1333.904007,42.0,1491.223887,-34.0,-157.31988,0.0,3.0,-1.0,2.0,34.0,31.0,1531.0,1688.0,-157.0,H
7697244,18/19,3,2018-10-11 18:45:00+00:00,finished,Lithuania,Romania,1.0,2.0,"UEFA Nations League, League C, Gr. 4",149.0,1056.850321,52.0,1455.894657,-97.0,-399.04433600000016,0.0,1.0,-1.5,0.0,31.0,31.0,1368.0,1731.0,-363.0,A
7697242,18/19,3,2018-10-11 18:45:00+00:00,finished,Montenegro,Serbia,0.0,2.0,"UEFA Nations League, League C, Gr. 4",80.0,1301.977191,40.0,1502.133186,-40.0,-200.15599500000008,2.0,2.0,1.0,0.5,31.0,31.0,1590.0,1803.0,-213.0,A
7697252,18/19,3,2018-10-11 18:45:00+00:00,finished,Faroe Islands,Azerbaijan,0.0,3.0,"UEFA Nations League, League D, Gr. 3",123.0,1136.585036,126.0,1131.995112,3.0,4.589923999999883,1.5,1.0,0.0,0.0,31.0,31.0,1260.0,1428.0,-168.0,A
7697255,18/19,3,2018-10-11 18:45:00+00:00,finished,Kosovo,Malta,3.0,1.0,"UEFA Nations League, League D, Gr. 3",78.0,1319.120924,161.0,992.793497,83.0,326.32742700000006,2.0,0.5,1.0,-1.0,31.0,31.0,1453.0,1187.0,266.0,H
7697222,18/19,3,2018-10-11 19:45:00+00:00,finished,Russia,Sweden,0.0,0.0,"UEFA Nations League, League B, Gr. 2",35.0,1529.602834,37.0,1525.578992,2.0,4.023842000000059,3.0,0.0,1.0,-1.0,34.0,31.0,1755.0,1818.0,-63.0,D
7697223,18/19,3,2018-10-12 18:45:00+00:00,finished,Austria,Northern Ireland,1.0,0.0,"UEFA Nations League, League B, Gr. 3",23.0,1598.822839,70.0,1365.296485,47.0,233.52635399999986,0.0,0.0,-1.0,-1.0,31.0,34.0,1754.0,1651.0,103.0,H
7697233,18/19,3,2018-10-12 18:45:00+00:00,finished,Estonia,Finland,0.0,1.0,"UEFA Nations League, League C, Gr. 2",127.0,1130.63629,75.0,1341.922408,-52.0,-211.286118,0.0,3.0,-1.0,1.0,31.0,31.0,1445.0,1641.0,-196.0,A
7697232,18/19,3,2018-10-12 18:45:00+00:00,finished,Greece,Hungary,1.0,0.0,"UEFA Nations League, League C, Gr. 2",46.0,1473.187305,39.0,1506.393663,-7.0,-33.20635800000014,1.5,1.5,0.0,0.0,31.0,31.0,1652.0,1571.0,81.0,H
7697251,18/19,3,2018-10-12 18:45:00+00:00,finished,Belarus,Luxembourg,1.0,0.0,"UEFA Nations League, League D, Gr. 2",96.0,1242.876029,98.0,1232.81815,2.0,10.057878999999957,2.0,3.0,2.5,3.5,31.0,31.0,1522.0,1367.0,155.0,H
7697256,18/19,3,2018-10-12 18:45:00+00:00,finished,Moldova,San Marino,2.0,0.0,"UEFA Nations League, League D, Gr. 2",159.0,1008.240035,211.0,721.201827,52.0,287.03820800000005,0.5,0.0,-2.0,-4.0,31.0,31.0,1310.0,843.0,467.0,H
7697214,18/19,3,2018-10-12 18:45:00+00:00,finished,Belgium,Switzerland,2.0,1.0,"UEFA Nations League, League A, Gr. 2",8.0,1778.355242,14.0,1710.884769,6.0,67.47047300000008,3.0,3.0,3.0,6.0,31.0,34.0,2082.0,1880.0,202.0,H
7697220,18/19,3,2018-10-12 18:45:00+00:00,finished,Croatia,England,0.0,0.0,"UEFA Nations League, League A, Gr. 4",13.0,1723.050142,4.0,1922.831632,-9.0,-199.78148999999985,0.0,0.0,-6.0,-1.0,31.0,34.0,1916.0,1907.0,9.0,D
7697221,18/19,3,2018-10-13 13:00:00+00:00,finished,Slovakia,Czechia,1.0,2.0,"UEFA Nations League, League B, Gr. 1",45.0,1473.660727,48.0,1467.260216,3.0,6.400511000000051,0.0,0.0,-1.0,-1.0,34.0,36.0,1727.0,1707.0,20.0,A
7697238,18/19,3,2018-10-13 16:00:00+00:00,finished,Norway,Slovenia,1.0,0.0,"UEFA Nations League, League C, Gr. 3",19.0,1651.286867,56.0,1441.087158,37.0,210.19970899999998,1.5,0.0,0.5,-1.0,34.0,33.0,1643.0,1563.0,80.0,H
7697241,18/19,3,2018-10-13 16:00:00+00:00,finished,Georgia,Andorra,3.0,0.0,"UEFA Nations League, League D, Gr. 1",72.0,1355.261687,172.0,946.429826,100.0,408.8318609999999,3.0,1.0,1.5,0.0,34.0,32.0,1531.0,1069.0,462.0,H
7697243,18/19,3,2018-10-13 16:00:00+00:00,finished,Latvia,Kazakhstan,1.0,1.0,"UEFA Nations League, League D, Gr. 1",137.0,1085.660758,111.0,1180.780449,-26.0,-95.1196910000001,0.5,0.5,-0.5,-1.0,34.0,32.0,1321.0,1336.0,-15.0,D
7697259,18/19,3,2018-10-13 16:00:00+00:00,finished,Armenia,Gibraltar,0.0,1.0,"UEFA Nations League, League D, Gr. 4",107.0,1189.632762,202.0,820.260818,95.0,369.371944,1.5,0.0,-0.5,-2.0,34.0,33.0,1402.0,1105.0,297.0,A
7697216,18/19,3,2018-10-13 18:45:00+00:00,finished,Netherlands,Germany,3.0,0.0,"UEFA Nations League, League A, Gr. 1",9.0,1775.54224,12.0,1726.218839,3.0,49.3234010000001,0.0,1.0,-1.0,0.0,34.0,37.0,1939.0,1941.0,-2.0,H
7697231,18/19,3,2018-10-13 18:45:00+00:00,finished,Ireland,Denmark,0.0,0.0,"UEFA Nations League, League B, Gr. 4",55.0,1441.096901,21.0,1619.474248,-34.0,-178.3773470000001,0.0,3.0,-3.0,2.0,37.0,34.0,1716.0,1886.0,-170.0,D
7697239,18/19,3,2018-10-13 18:45:00+00:00,finished,Bulgaria,Cyprus,2.0,1.0,"UEFA Nations League, League C, Gr. 3",85.0,1271.683325,124.0,1133.247165,39.0,138.43615999999997,3.0,1.5,1.0,-0.5,34.0,34.0,1660.0,1415.0,245.0,H
7697260,18/19,3,2018-10-13 18:45:00+00:00,finished,North Macedonia,Liechtenstein,4.0,1.0,"UEFA Nations League, League D, Gr. 4",69.0,1369.159317,206.0,797.701009,137.0,571.4583080000001,3.0,1.5,2.0,0.5,34.0,34.0,1545.0,1153.0,392.0,H
7697247,18/19,4,2018-10-14 13:00:00+00:00,finished,Romania,Serbia,0.0,0.0,"UEFA Nations League, League C, Gr. 4",52.0,1455.894657,40.0,1502.133186,-12.0,-46.23852899999997,1.6666666666666667,2.3333333333333335,0.3333333333333333,1.0,2.0,2.0,1729.0,1805.0,-76.0,D
7697227,18/19,4,2018-10-14 16:00:00+00:00,finished,Russia,Türkiye,2.0,0.0,"UEFA Nations League, League B, Gr. 2",35.0,1529.602834,27.0,1582.54473,-8.0,-52.94189600000004,2.0,1.5,0.5,0.0,2.0,33.0,1775.0,1711.0,64.0,H
7697253,18/19,4,2018-10-14 16:00:00+00:00,finished,Azerbaijan,Malta,1.0,1.0,"UEFA Nations League, League D, Gr. 3",126.0,1131.995112,161.0,992.793497,35.0,139.20161500000006,1.6666666666666667,0.3333333333333333,1.0,-1.3333333333333333,2.0,2.0,1413.0,1202.0,211.0,D
7697258,18/19,4,2018-10-14 16:00:00+00:00,finished,Faroe Islands,Kosovo,1.0,1.0,"UEFA Nations League, League D, Gr. 3",123.0,1136.585036,78.0,1319.120924,-45.0,-182.5358880000001,1.0,2.3333333333333335,-1.0,1.3333333333333333,2.0,2.0,1265.0,1448.0,-183.0,D
7888071,18/19,4,2018-10-14 18:45:00+00:00,finished,Israel,Albania,2.0,0.0,"UEFA Nations League, League C, Gr. 1",76.0,1333.904007,67.0,1376.033234,-9.0,-42.1292269999999,1.5,1.5,0.0,-0.5,3.0,34.0,1555.0,1531.0,24.0,H
7697248,18/19,4,2018-10-14 18:45:00+00:00,finished,Lithuania,Montenegro,1.0,4.0,"UEFA Nations League, League C, Gr. 4",149.0,1056.850321,80.0,1301.977191,-69.0,-245.12687000000005,0.0,1.3333333333333333,-1.3333333333333333,0.0,3.0,3.0,1345.0,1613.0,-268.0,A
7697218,18/19,4,2018-10-14 18:45:00+00:00,finished,Poland,Italy,0.0,1.0,"UEFA Nations League, League A, Gr. 3",36.0,1526.183359,15.0,1704.733836,-21.0,-178.550477,0.5,0.5,-0.5,-0.5,3.0,34.0,1750.0,1883.0,-133.0,A
7697267,18/19,4,2018-10-15 18:45:00+00:00,finished,Iceland,Switzerland,1.0,2.0,"UEFA Nations League, League A, Gr. 2",74.0,1342.771961,14.0,1710.884769,-60.0,-368.1128080000001,0.0,1.5,-4.5,2.5,34.0,3.0,1675.0,1895.0,-220.0,A
7697264,18/19,4,2018-10-15 18:45:00+00:00,finished,Spain,England,2.0,3.0,"UEFA Nations League, League A, Gr. 4",1.0,1995.881879,4.0,1922.831632,3.0,73.05024700000013,3.0,0.5,3.5,-0.5,34.0,3.0,2029.0,1939.0,90.0,A
7697261,18/19,4,2018-10-15 18:45:00+00:00,finished,Bosnia & Herzegovina,Northern Ireland,2.0,0.0,"UEFA Nations League, League B, Gr. 3",61.0,1408.930486,70.0,1365.296485,9.0,43.6340009999999,3.0,0.0,1.0,-1.0,34.0,3.0,1795.0,1638.0,157.0,H
7697262,18/19,4,2018-10-15 18:45:00+00:00,finished,Estonia,Hungary,3.0,3.0,"UEFA Nations League, League C, Gr. 2",127.0,1130.63629,39.0,1506.393663,-88.0,-375.75737300000014,0.0,1.0,-1.0,-0.3333333333333333,3.0,3.0,1446.0,1570.0,-124.0,D
7697270,18/19,4,2018-10-15 18:45:00+00:00,finished,Finland,Greece,2.0,0.0,"UEFA Nations League, League C, Gr. 2",75.0,1341.922408,46.0,1473.187305,-29.0,-131.26489700000002,3.0,2.0,1.0,0.3333333333333333,3.0,3.0,1663.0,1630.0,33.0,H
7697273,18/19,4,2018-10-15 18:45:00+00:00,finished,Belarus,Moldova,0.0,0.0,"UEFA Nations League, League D, Gr. 2",96.0,1242.876029,159.0,1008.240035,63.0,234.63599399999998,2.3333333333333335,1.3333333333333333,2.0,-0.6666666666666666,3.0,3.0,1508.0,1324.0,184.0,D
7697276,18/19,4,2018-10-15 18:45:00+00:00,finished,Luxembourg,San Marino,3.0,0.0,"UEFA Nations League, League D, Gr. 2",98.0,1232.81815,211.0,721.201827,113.0,511.6163230000001,2.0,0.0,2.0,-3.3333333333333335,3.0,3.0,1369.0,841.0,528.0,H
7697281,18/19,4,2018-10-16 14:00:00+00:00,finished,Kazakhstan,Andorra,4.0,0.0,"UEFA Nations League, League D, Gr. 1",111.0,1180.780449,172.0,946.429826,61.0,234.35062300000004,0.6666666666666666,0.6666666666666666,-0.6666666666666666,-1.0,2.0,2.0,1344.0,1061.0,283.0,H
7697274,18/19,4,2018-10-16 16:00:00+00:00,finished,Armenia,North Macedonia,4.0,0.0,"UEFA Nations League, League D, Gr. 4",107.0,1189.632762,69.0,1369.159317,-38.0,-179.52655500000014,1.0,3.0,-0.6666666666666666,2.3333333333333335,3.0,2.0,1444.0,1503.0,-59.0,H
7697275,18/19,4,2018-10-16 18:45:00+00:00,finished,Gibraltar,Liechtenstein,2.0,1.0,"UEFA Nations League, League D, Gr. 4",202.0,820.260818,206.0,797.701009,4.0,22.559808999999973,1.0,1.0,-1.0,-0.6666666666666666,3.0,3.0,1122.0,1136.0,-14.0,H
7697279,18/19,4,2018-10-16 18:45:00+00:00,finished,Latvia,Georgia,0.0,3.0,"UEFA Nations League, League D, Gr. 1",137.0,1085.660758,72.0,1355.261687,-65.0,-269.60092899999995,0.6666666666666666,3.0,-0.3333333333333333,2.0,3.0,3.0,1297.0,1555.0,-258.0,A
7697277,18/19,4,2018-10-16 18:45:00+00:00,finished,Slovenia,Cyprus,1.0,1.0,"UEFA Nations League, League C, Gr. 3",56.0,1441.087158,124.0,1133.247165,68.0,307.83999300000005,0.0,1.0,-1.0,-0.6666666666666666,3.0,3.0,1551.0,1427.0,124.0,D
7697269,18/19,4,2018-10-16 18:45:00+00:00,finished,Ireland,Wales,0.0,1.0,"UEFA Nations League, League B, Gr. 4",55.0,1441.096901,38.0,1516.946629,-17.0,-75.84972800000014,0.5,1.5,-1.5,0.5,3.0,37.0,1694.0,1795.0,-101.0,A
7697266,18/19,4,2018-10-16 18:45:00+00:00,finished,Ukraine,Czechia,1.0,0.0,"UEFA Nations League, League B, Gr. 1",33.0,1549.287173,48.0,1467.260216,15.0,82.02695700000004,3.0,1.5,1.0,0.0,37.0,3.0,1803.0,1697.0,106.0,H
7697265,18/19,4,2018-10-16 18:45:00+00:00,finished,France,Germany,2.0,1.0,"UEFA Nations League, League A, Gr. 1",3.0,1948.970817,12.0,1726.218839,9.0,222.751978,2.0,0.5,0.5,-1.5,37.0,3.0,2126.0,1934.0,192.0,H
7697278,18/19,4,2018-10-16 18:45:00+00:00,finished,Norway,Bulgaria,1.0,0.0,"UEFA Nations League, League C, Gr. 3",19.0,1651.286867,85.0,1271.683325,66.0,379.60354200000006,2.0,3.0,0.6666666666666666,1.0,3.0,3.0,1658.0,1645.0,13.0,H
7697286,18/19,5,2018-11-15 15:00:00+00:00,finished,Kazakhstan,Latvia,1.0,1.0,"UEFA Nations League, League D, Gr. 1",111.0,1180.780449,137.0,1085.660758,26.0,95.1196910000001,1.25,0.5,0.5,-1.0,30.0,29.0,1336.0,1305.0,31.0,D
7697306,18/19,5,2018-11-15 19:45:00+00:00,finished,Belgium,Iceland,2.0,0.0,"UEFA Nations League, League A, Gr. 2",8.0,1778.355242,74.0,1342.771961,66.0,435.58328100000017,3.0,0.0,2.0,-3.3333333333333335,34.0,31.0,2079.0,1672.0,407.0,H
7697300,18/19,5,2018-11-15 19:45:00+00:00,finished,Croatia,Spain,3.0,2.0,"UEFA Nations League, League A, Gr. 4",13.0,1723.050142,1.0,1995.881879,-12.0,-272.831737,0.5,2.0,-3.0,2.0,34.0,31.0,1938.0,2008.0,-70.0,H
7697299,18/19,5,2018-11-15 19:45:00+00:00,finished,Austria,Bosnia & Herzegovina,0.0,0.0,"UEFA Nations League, League B, Gr. 3",23.0,1598.822839,61.0,1408.930486,38.0,189.89235299999996,1.5,3.0,0.0,1.3333333333333333,34.0,31.0,1745.0,1798.0,-53.0,D
7697290,18/19,5,2018-11-15 19:45:00+00:00,finished,Greece,Finland,1.0,0.0,"UEFA Nations League, League C, Gr. 2",46.0,1473.187305,75.0,1341.922408,29.0,131.26489700000002,1.5,3.0,-0.25,1.25,31.0,31.0,1646.0,1647.0,-1.0,H
7697287,18/19,5,2018-11-15 19:45:00+00:00,finished,Hungary,Estonia,2.0,0.0,"UEFA Nations League, League C, Gr. 2",39.0,1506.393663,127.0,1130.63629,88.0,375.75737300000014,1.0,0.25,-0.25,-0.75,31.0,31.0,1583.0,1433.0,150.0,H
