team,country_code,rank,points,previous_rank,fetched_at,snapshot_date
Tunisia,TUN,57,1426.583954,45,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Saudi Arabia,SAU,58,1425.515277,61,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Qatar,QAT,59,1411.063729,56,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Uzbekistan,UZB,60,1409.729608,50,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Bosnia & Herzegovina,BIH,61,1408.930486,64,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Burkina Faso,BFA,62,1406.990543,62,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Iraq,IRQ,63,1404.172801,57,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Cabo Verde,CPV,64,1402.966144,67,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Ghana,GHA,65,1387.000731,73,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Honduras,HND,66,1378.970301,65,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Albania,ALB,67,1376.033234,66,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
United Arab Emirates,ARE,68,1370.469434,68,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
North Macedonia,MKD,69,1369.159317,69,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Northern Ireland,NIR,70,1365.296485,70,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Jamaica,JAM,71,1357.840144,71,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Georgia,GEO,72,1355.261687,72,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Jordan,JOR,73,1350.411893,63,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Iceland,ISL,74,1342.771961,74,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Finland,FIN,75,1341.922408,75,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Israel,ISR,76,1333.904007,76,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Bolivia,BOL,77,1325.995377,77,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Kosovo,XKX,78,1319.120924,78,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Oman,OMN,79,1306.901717,79,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Montenegro,MNE,80,1301.977191,80,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Guinea,GIN,81,1295.598845,81,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Curaçao,CUW,82,1285.644403,82,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Syria,SYR,83,1283.051902,84,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Gabon,GAB,84,1272.508139,86,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Bulgaria,BGR,85,1271.683325,87,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
New Zealand,NZL,86,1269.801509,85,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Angola,AGO,87,1265.575056,88,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Haiti,HTI,88,1264.578423,83,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Uganda,UGA,89,1264.090591,89,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Zambia,ZMB,90,1255.821846,90,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
China,CHN,91,1254.8091,91,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Bahrain,BHR,92,1254.406799,92,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Benin,BEN,93,1252.170944,93,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Thailand,THA,94,1250.803064,94,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Palestine,PSE,95,1243.713925,95,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Belarus,BLR,96,1242.876029,96,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Guatemala,GTM,97,1238.74375,97,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Luxembourg,LUX,98,1232.81815,98,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Vietnam,VNM,99,1227.203805,99,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
El Salvador,SLV,100,1225.344607,100,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Tajikistan,TJK,101,1224.190098,101,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Trinidad and Tobago,TTO,102,1219.58613,102,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Mozambique,MOZ,103,1218.616571,103,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Madagascar,MDG,104,1202.689766,104,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Equatorial Guinea,GNQ,105,1195.197081,105,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
